time, resource data ((Actor State Value)*), resource workload, temporal data ((Actor State Value)*), temporal workload, decision data ((Actor State Value)*), decision workload
93, , 0,, 0,( PARENT_SEARCH IDLE 0 ) ( MissionManager IDLE 0 ) ( OPERATOR OBSERVE_UAV 2 ) ( UAV_OGUI_WateredDown CRASHED 2 ) ( VO_WateredDown CRASHED 2 ) ( PARENT_SEARCH IDLE 2 ) ( MissionManager IDLE 2 ) ( OPERATOR OBSERVE_UAV 4 ) ( UAV_OGUI_WateredDown CRASHED 4 ) ( VO_WateredDown CRASHED 4 ) ( PARENT_SEARCH IDLE 4 ) ( MissionManager IDLE 4 ) ( OPERATOR OBSERVE_UAV 6 ) ( UAV_OGUI_WateredDown CRASHED 6 ) ( VO_WateredDown CRASHED 6 ) ( PARENT_SEARCH IDLE 6 ) ( MissionManager IDLE 6 ) ( OPERATOR OBSERVE_UAV 8 ) ( UAV_OGUI_WateredDown CRASHED 8 ) ( VO_WateredDown CRASHED 8 ) , 8
94, ( MM AUDIO 1 ) ( MM AUDIO 2 ) ( MM AUDIO 3 ) ( MM AUDIO 4 ) , 4,( MM AUDIO 1 ) ( MM AUDIO 2 ) ( MM AUDIO 3 ) ( MM AUDIO 4 ) , 4,( PARENT_SEARCH IDLE 0 ) ( MissionManager IDLE 1 ) ( OPERATOR POKE_MM 1 ) ( UAV_OGUI_WateredDown CRASHED 1 ) ( VO_WateredDown CRASHED 1 ) ( PARENT_SEARCH IDLE 1 ) ( MissionManager IDLE 2 ) ( OPERATOR POKE_MM 2 ) ( UAV_OGUI_WateredDown CRASHED 2 ) ( VO_WateredDown CRASHED 2 ) ( PARENT_SEARCH IDLE 2 ) ( MissionManager IDLE 3 ) ( OPERATOR POKE_MM 3 ) ( UAV_OGUI_WateredDown CRASHED 3 ) ( VO_WateredDown CRASHED 3 ) ( PARENT_SEARCH IDLE 3 ) ( MissionManager IDLE 4 ) ( OPERATOR POKE_MM 4 ) ( UAV_OGUI_WateredDown CRASHED 4 ) ( VO_WateredDown CRASHED 4 ) , 4
95, ( OP AUDIO 1 ) ( OP AUDIO 2 ) ( OP AUDIO 3 ) ( OP AUDIO 4 ) ( OP AUDIO 5 ) ( OP AUDIO 6 ) ( OP AUDIO 7 ) , 7,( OP AUDIO 1 ) ( OP AUDIO 2 ) ( OP AUDIO 3 ) ( OP AUDIO 4 ) ( OP AUDIO 5 ) ( OP AUDIO 6 ) ( OP AUDIO 7 ) , 7,( PARENT_SEARCH IDLE 0 ) ( MissionManager RX_OP 0 ) ( OPERATOR POKE_MM 1 ) ( UAV_OGUI_WateredDown CRASHED 1 ) ( VO_WateredDown CRASHED 1 ) ( PARENT_SEARCH IDLE 1 ) ( MissionManager RX_OP 1 ) ( OPERATOR POKE_MM 2 ) ( UAV_OGUI_WateredDown CRASHED 2 ) ( VO_WateredDown CRASHED 2 ) ( PARENT_SEARCH IDLE 2 ) ( MissionManager RX_OP 2 ) ( OPERATOR POKE_MM 3 ) ( UAV_OGUI_WateredDown CRASHED 3 ) ( VO_WateredDown CRASHED 3 ) ( PARENT_SEARCH IDLE 3 ) ( MissionManager RX_OP 3 ) ( OPERATOR POKE_MM 4 ) ( UAV_OGUI_WateredDown CRASHED 4 ) ( VO_WateredDown CRASHED 4 ) , 4
96, , 0,, 0,( PARENT_SEARCH IDLE 0 ) ( MissionManager RX_OP 0 ) ( OPERATOR TX_MM 1 ) ( UAV_OGUI_WateredDown CRASHED 1 ) ( VO_WateredDown CRASHED 1 ) ( PARENT_SEARCH IDLE 1 ) ( MissionManager RX_OP 1 ) ( OPERATOR TX_MM 2 ) ( UAV_OGUI_WateredDown CRASHED 2 ) ( VO_WateredDown CRASHED 2 ) ( PARENT_SEARCH IDLE 2 ) ( MissionManager RX_OP 2 ) ( OPERATOR TX_MM 3 ) ( UAV_OGUI_WateredDown CRASHED 3 ) ( VO_WateredDown CRASHED 3 ) ( PARENT_SEARCH IDLE 3 ) ( MissionManager RX_OP 3 ) ( OPERATOR TX_MM 4 ) ( UAV_OGUI_WateredDown CRASHED 4 ) ( VO_WateredDown CRASHED 4 ) , 4
97, ( MM AUDIO 1 ) ( MM AUDIO 2 ) ( MM AUDIO 3 ) ( MM AUDIO 4 ) , 4,( MM AUDIO 1 ) ( MM AUDIO 2 ) ( MM AUDIO 3 ) ( MM AUDIO 4 ) , 4,( PARENT_SEARCH IDLE 0 ) ( MissionManager RX_OP 1 ) ( OPERATOR END_MM 2 ) ( UAV_OGUI_WateredDown CRASHED 2 ) ( VO_WateredDown CRASHED 2 ) ( PARENT_SEARCH IDLE 2 ) ( MissionManager RX_OP 3 ) ( OPERATOR END_MM 4 ) ( UAV_OGUI_WateredDown CRASHED 4 ) ( VO_WateredDown CRASHED 4 ) ( PARENT_SEARCH IDLE 4 ) ( MissionManager RX_OP 5 ) ( OPERATOR END_MM 6 ) ( UAV_OGUI_WateredDown CRASHED 6 ) ( VO_WateredDown CRASHED 6 ) ( PARENT_SEARCH IDLE 6 ) ( MissionManager RX_OP 7 ) ( OPERATOR END_MM 8 ) ( UAV_OGUI_WateredDown CRASHED 8 ) ( VO_WateredDown CRASHED 8 ) , 8
98, , 0,, 0,( PARENT_SEARCH IDLE 0 ) ( MissionManager IDLE 1 ) ( OPERATOR IDLE 1 ) ( UAV_OGUI_WateredDown CRASHED 1 ) ( VO_WateredDown CRASHED 1 ) ( PARENT_SEARCH IDLE 1 ) ( MissionManager IDLE 2 ) ( OPERATOR IDLE 2 ) ( UAV_OGUI_WateredDown CRASHED 2 ) ( VO_WateredDown CRASHED 2 ) ( PARENT_SEARCH IDLE 2 ) ( MissionManager IDLE 3 ) ( OPERATOR IDLE 3 ) ( UAV_OGUI_WateredDown CRASHED 3 ) ( VO_WateredDown CRASHED 3 ) ( PARENT_SEARCH IDLE 3 ) ( MissionManager IDLE 4 ) ( OPERATOR IDLE 4 ) ( UAV_OGUI_WateredDown CRASHED 4 ) ( VO_WateredDown CRASHED 4 ) , 4
99, ( PS AUDIO 1 ) ( PS AUDIO 2 ) ( PS AUDIO 3 ) ( PS AUDIO 4 ) , 4,( PS AUDIO 1 ) ( PS AUDIO 2 ) ( PS AUDIO 3 ) ( PS AUDIO 4 ) , 4,( PARENT_SEARCH IDLE 1 ) ( MissionManager POKE_PS 1 ) ( OPERATOR IDLE 1 ) ( UAV_OGUI_WateredDown CRASHED 1 ) ( VO_WateredDown CRASHED 1 ) ( PARENT_SEARCH IDLE 2 ) ( MissionManager POKE_PS 2 ) ( OPERATOR IDLE 2 ) ( UAV_OGUI_WateredDown CRASHED 2 ) ( VO_WateredDown CRASHED 2 ) ( PARENT_SEARCH IDLE 3 ) ( MissionManager POKE_PS 3 ) ( OPERATOR IDLE 3 ) ( UAV_OGUI_WateredDown CRASHED 3 ) ( VO_WateredDown CRASHED 3 ) ( PARENT_SEARCH IDLE 4 ) ( MissionManager POKE_PS 4 ) ( OPERATOR IDLE 4 ) ( UAV_OGUI_WateredDown CRASHED 4 ) ( VO_WateredDown CRASHED 4 ) , 4
100, ( MM AUDIO 1 ) ( MM AUDIO 2 ) ( MM AUDIO 3 ) ( MM AUDIO 4 ) ( MM AUDIO 5 ) ( MM AUDIO 6 ) ( MM AUDIO 7 ) , 7,( MM AUDIO 1 ) ( MM AUDIO 2 ) ( MM AUDIO 3 ) ( MM AUDIO 4 ) ( MM AUDIO 5 ) ( MM AUDIO 6 ) ( MM AUDIO 7 ) , 7,( PARENT_SEARCH RX_MM 0 ) ( MissionManager POKE_PS 1 ) ( OPERATOR IDLE 1 ) ( UAV_OGUI_WateredDown CRASHED 1 ) ( VO_WateredDown CRASHED 1 ) ( PARENT_SEARCH RX_MM 1 ) ( MissionManager POKE_PS 2 ) ( OPERATOR IDLE 2 ) ( UAV_OGUI_WateredDown CRASHED 2 ) ( VO_WateredDown CRASHED 2 ) ( PARENT_SEARCH RX_MM 2 ) ( MissionManager POKE_PS 3 ) ( OPERATOR IDLE 3 ) ( UAV_OGUI_WateredDown CRASHED 3 ) ( VO_WateredDown CRASHED 3 ) ( PARENT_SEARCH RX_MM 3 ) ( MissionManager POKE_PS 4 ) ( OPERATOR IDLE 4 ) ( UAV_OGUI_WateredDown CRASHED 4 ) ( VO_WateredDown CRASHED 4 ) , 4
101, , 0,, 0,( PARENT_SEARCH RX_MM 0 ) ( MissionManager TX_PS 1 ) ( OPERATOR IDLE 1 ) ( UAV_OGUI_WateredDown CRASHED 1 ) ( VO_WateredDown CRASHED 1 ) ( PARENT_SEARCH RX_MM 1 ) ( MissionManager TX_PS 2 ) ( OPERATOR IDLE 2 ) ( UAV_OGUI_WateredDown CRASHED 2 ) ( VO_WateredDown CRASHED 2 ) ( PARENT_SEARCH RX_MM 2 ) ( MissionManager TX_PS 3 ) ( OPERATOR IDLE 3 ) ( UAV_OGUI_WateredDown CRASHED 3 ) ( VO_WateredDown CRASHED 3 ) ( PARENT_SEARCH RX_MM 3 ) ( MissionManager TX_PS 4 ) ( OPERATOR IDLE 4 ) ( UAV_OGUI_WateredDown CRASHED 4 ) ( VO_WateredDown CRASHED 4 ) , 4
102, , 0,, 0,, 0
103, , 0,, 0,, 0
104, , 0,, 0,, 0
105, , 0,, 0,, 0
106, , 0,, 0,, 0
107, , 0,, 0,, 0
108, , 0,, 0,, 0
109, , 0,, 0,, 0
110, , 0,, 0,, 0
111, ( PS AUDIO 1 ) ( PS AUDIO 2 ) ( PS AUDIO 3 ) ( PS AUDIO 4 ) , 4,( PS AUDIO 10 ) ( PS AUDIO 20 ) ( PS AUDIO 30 ) ( PS AUDIO 40 ) , 40,( PARENT_SEARCH RX_MM 1 ) ( MissionManager END_PS 2 ) ( OPERATOR IDLE 2 ) ( UAV_OGUI_WateredDown CRASHED 2 ) ( VO_WateredDown CRASHED 2 ) ( PARENT_SEARCH RX_MM 3 ) ( MissionManager END_PS 4 ) ( OPERATOR IDLE 4 ) ( UAV_OGUI_WateredDown CRASHED 4 ) ( VO_WateredDown CRASHED 4 ) ( PARENT_SEARCH RX_MM 5 ) ( MissionManager END_PS 6 ) ( OPERATOR IDLE 6 ) ( UAV_OGUI_WateredDown CRASHED 6 ) ( VO_WateredDown CRASHED 6 ) ( PARENT_SEARCH RX_MM 7 ) ( MissionManager END_PS 8 ) ( OPERATOR IDLE 8 ) ( UAV_OGUI_WateredDown CRASHED 8 ) ( VO_WateredDown CRASHED 8 ) , 8
112, , 0,, 0,( PARENT_SEARCH IDLE 0 ) ( MissionManager IDLE 0 ) ( OPERATOR IDLE 0 ) ( UAV_OGUI_WateredDown CRASHED 0 ) ( VO_WateredDown CRASHED 0 ) ( PARENT_SEARCH IDLE 0 ) ( MissionManager IDLE 0 ) ( OPERATOR IDLE 0 ) ( UAV_OGUI_WateredDown CRASHED 0 ) ( VO_WateredDown CRASHED 0 ) ( PARENT_SEARCH IDLE 0 ) ( MissionManager IDLE 0 ) ( OPERATOR IDLE 0 ) ( UAV_OGUI_WateredDown CRASHED 0 ) ( VO_WateredDown CRASHED 0 ) ( PARENT_SEARCH IDLE 0 ) ( MissionManager IDLE 0 ) ( OPERATOR IDLE 0 ) ( UAV_OGUI_WateredDown CRASHED 0 ) ( VO_WateredDown CRASHED 0 ) , 0
113, , 0,, 0,, 0
114, , 0,, 0,, 0
115, , 0,, 0,, 0
116, , 0,, 0,, 0
117, , 0,, 0,, 0
118, , 0,, 0,, 0
119, , 0,, 0,, 0
120, , 0,, 0,, 0
121, , 0,, 0,, 0
122, , 0,, 0,, 0
123, , 0,, 0,, 0
124, , 0,, 0,, 0
125, , 0,, 0,, 0
126, , 0,, 0,, 0
127, , 0,, 0,, 0
128, , 0,, 0,, 0
129, , 0,, 0,, 0
130, , 0,, 0,, 0
131, , 0,, 0,, 0
132, , 0,, 0,, 0
133, , 0,, 0,, 0
134, , 0,, 0,, 0
135, , 0,, 0,, 0
136, , 0,, 0,, 0
137, , 0,, 0,, 0
138, , 0,, 0,, 0
139, , 0,, 0,, 0
140, , 0,, 0,, 0
141, , 0,, 0,, 0
142, , 0,, 0,, 0
143, , 0,, 0,, 0
144, , 0,, 0,, 0
145, , 0,, 0,, 0
146, , 0,, 0,, 0
147, , 0,, 0,, 0
148, , 0,, 0,, 0
149, , 0,, 0,, 0
150, , 0,, 0,, 0
151, , 0,, 0,, 0
152, , 0,, 0,, 0
153, , 0,, 0,, 0
154, , 0,, 0,, 0
155, , 0,, 0,, 0
156, , 0,, 0,, 0
157, , 0,, 0,, 0
158, , 0,, 0,, 0
159, , 0,, 0,, 0
160, , 0,, 0,, 0
161, , 0,, 0,, 0
162, , 0,, 0,, 0
163, , 0,, 0,, 0
164, , 0,, 0,, 0
165, , 0,, 0,, 0
166, , 0,, 0,, 0
167, , 0,, 0,, 0
168, , 0,, 0,, 0
169, , 0,, 0,, 0
170, , 0,, 0,, 0
171, , 0,, 0,, 0
172, , 0,, 0,, 0
173, , 0,, 0,, 0
174, , 0,, 0,, 0
175, , 0,, 0,, 0
176, , 0,, 0,, 0
177, , 0,, 0,, 0
178, , 0,, 0,, 0
179, , 0,, 0,, 0
180, , 0,, 0,, 0
181, , 0,, 0,, 0
182, , 0,, 0,, 0
183, , 0,, 0,, 0
184, , 0,, 0,, 0
185, , 0,, 0,, 0
186, , 0,, 0,, 0
187, , 0,, 0,, 0
188, , 0,, 0,, 0
189, , 0,, 0,, 0
190, , 0,, 0,, 0
191, , 0,, 0,, 0
192, , 0,, 0,, 0
193, , 0,, 0,, 0
194, , 0,, 0,, 0
195, , 0,, 0,, 0
196, , 0,, 0,, 0
197, , 0,, 0,, 0
198, , 0,, 0,, 0
199, , 0,, 0,, 0
